"customer";"location";"line";"beverage";"LG";"substance";"wl1";"wl2";"wl3";"wl4";"ncomp";"spc";"RMSE";"R2"
"CCEP";NA;NA;"Cherry_Coke";"2";"Coffein";215;320;0;0;1;"2nd";0,367;0,997
"CCEP";"Dorsten";"DS";"Cherry_Coke_DK";"3";"Coffein";210;260;0;0;1;"2nd";0,998;0,96
"CCEP";"Dorsten";"DS";"Cherry_Coke_DK";"3";"GS2A";210;260;0;0;2;"2nd";2,119;0,728
"CCEP";"Dorsten";"DS";"Cherry_Coke_DK";"3";"GS2B";210;260;0;0;2;"2nd";3,176;0,402
"CCEP";NA;NA;"Coca_Cola";"3";"Coffein";210;300;0;0;2;"2nd";0,309;0,999
"CCEP";NA;NA;"Coca_Cola";"2";"Coffein";210;300;0;0;2;"2nd";1,152;0,941
"CCEP";"Neureut";"LG";"Coca_Cola";"2";"Coffein";210;300;0;0;2;"2nd";1,152;0,941
"CCEP";NA;NA;"Coca_Cola";"3";"GS2";245;280;0;0;2;"spc";3,806;0,772
"CCEP";NA;NA;"Coke_Light";"3";"Coffein";210;300;0;0;1;"2nd";2,38;0,833
"CCEP";NA;NA;"Coke_Light";"2";"Coffein";205;300;0;0;2;"2nd";0,762;0,948
"CCEP";"Neureut";"LG";"Coke_Light";"2";"Coffein";205;300;0;0;2;"2nd";0,762;0,948
"CCEP";NA;NA;"Coke_Light_koffeinfrei";"3";"Acid";225;320;0;0;3;"1st";1,86;0,349
"CCEP";NA;NA;"Coke_Vanilla";"2";"Coffein";215;350;0;0;1;"2nd";1,515;0,957
"CCEP";NA;NA;"Coke_Zero";"3";"Coffein";205;300;0;0;2;"2nd";0,735;0,993
"CCEP";NA;NA;"Coke_Zero";"2";"Coffein";205;300;0;0;2;"2nd";0,788;0,988
"CCEP";"Neureut";"LG";"Coke_Zero";"2";"Coffein";205;300;0;0;2;"2nd";0,788;0,988
"CCEP";NA;NA;"Coke_Zero";"2";"T3F";210;225;0;0;1;"1st";0,117;1
"CCEP";"Dorsten";"DS";"Coke_Zero_DK";"3";"Coffein";260;285;0;0;3;"2nd";1,169;0,845
"CCEP";NA;NA;"Coke_Zero_koffeinfrei";"3";"Acid";225;320;0;0;3;"1st";1,86;0,349
"CCEP";NA;NA;"Fanta_Lemon_Zero";"3";"Acesulfam";210;235;0;0;1;"2nd";1,767;0,768
"CCEP";NA;NA;"Fanta_Lemon_Zero";"3";"Aspartam";210;215;220;260;3;"2nd";2,088;0,676
"CCEP";NA;NA;"Fanta_Lemon_Zero";"3";"T1K";220;240;0;0;1;"2nd";3,712;0,031
"CCEP";NA;NA;"Fanta_Lemon_Zero";"3";"TTA";200;260;290;310;5;"2nd";0,406;0,989
"CCEP";NA;NA;"Fanta_Orange";"3";"Acid";260;330;0;0;1;"2nd";3,591;0,75
"CCEP";NA;NA;"Fanta_Orange_Zero";"3";"Acid";290;300;360;380;2;"2nd";1,055;0,97
"CCEP";NA;NA;"MezzoMix";"3";"Coffein";250;320;0;0;2;"2nd";1,611;0,914
"CCEP";"Neureut";"LG";"Monster_Absolutely_Zero";"2";"Acid";194;320;0;0;1;"1st";0;0,454
"CCEP";"Neureut";"LG";"Monster_Absolutely_Zero";"2";"Benzoicacid";194;320;0;0;3;"1st";0,036;0,996
"CCEP";"Neureut";"LG";"Monster_Absolutely_Zero";"2";"Coffein";210;320;0;0;3;"1st";0,028;0,999
"CCEP";"Neureut";"LG";"Monster_Absolutely_Zero";"2";"Sorbicacid";250;320;0;0;2;"1st";0,032;0,999
"CCEP";"Neureut";"LG";"Monster_Energy";"2";"Acid";220;310;0;0;3;"2nd";0,004;0,867
"CCEP";"Neureut";"LG";"Monster_Energy";"2";"Benzoicacid";220;265;0;0;3;"2nd";0,04;0,993
"CCEP";"Neureut";"LG";"Monster_Energy";"2";"Blend";210;475;0;0;4;"2nd";0,786;0,975
"CCEP";"Neureut";"LG";"Monster_Energy";"2";"Coffein";220;300;0;0;3;"1st";0,058;0,997
"CCEP";"Neureut";"LG";"Monster_Energy";"2";"Flavor";325;360;0;0;2;"1st";2,63;0,846
"CCEP";"Neureut";"LG";"Monster_Energy";"2";"RubyRed";295;400;0;0;2;"2nd";2,592;0,626
"CCEP";"Neureut";"LG";"Monster_Energy";"2";"Sorbicacid";250;320;0;0;2;"1st";0,128;0,982
"CCEP";"Neureut";"LG";"Monster_Energy_Ultra";"2";"Acesulfam";225;245;0;0;1;"1st";2,447;0,816
"CCEP";"Neureut";"LG";"Monster_Energy_Ultra";"2";"Acid";210;270;0;0;2;"2nd";0,018;0,355
"CCEP";"Neureut";"LG";"Monster_Energy_Ultra";"2";"Benzoicacid";205;275;0;0;2;"1st";0,477;0,41
"CCEP";"Neureut";"LG";"Monster_Energy_Ultra";"2";"Blend";200;295;0;0;5;"1st";0,757;0,975
"CCEP";"Neureut";"LG";"Monster_Energy_Ultra";"2";"CitrusFlavor";305;365;0;0;2;"2nd";4,291;0,602
"CCEP";"Neureut";"LG";"Monster_Energy_Ultra";"2";"Cloud";320;395;0;0;2;"1st";2,448;0,789
"CCEP";"Neureut";"LG";"Monster_Energy_Ultra";"2";"Coffein";210;270;0;0;2;"2nd";0,499;0,874
"CCEP";"Neureut";"LG";"Monster_Energy_Ultra";"2";"Sorbicacid";240;305;0;0;3;"2nd";0,336;0,914
"CCEP";"Neureut";"LG";"Monster_Energy_Ultra";"2";"TropicalFlavor";325;400;0;0;2;"2nd";2,668;0,62
"CCEP";NA;NA;"Sprite";"3";"Acid";226;320;0;0;2;"1st";2,098;0,869
"CCEP";NA;NA;"Sprite_Zero";"3";"TTA";210;215;250;255;5;"2nd";2,532;0,764
"MEG";NA;NA;"FW_Lemon";"2";"Acid";230;490;0;0;2;"2nd";0,097;0,847
"MEG";NA;NA;"FW_Lemon";"2";"GS";230;490;0;0;2;"2nd";4,166;0,847
"MEG";NA;NA;"KS_Energy_Zero";"SG";"Acesulfam";230;240;0;0;2;"2nd";3,738;0,52
"MEG";NA;NA;"KS_Energy_Zero";"SG";"Acid";220;240;320;340;1;"2nd";0,544;0,577
"MEG";NA;NA;"KS_Energy_Zero";"SG";"Aspartam";210;220;225;240;3;"1st";4,753;0,71
"MEG";NA;NA;"KS_Energy_Zero";"SG";"GS";220;230;320;350;2;"1st";2,178;0,636
"MEG";NA;NA;"Orange_0p";"SG";"Acesulfam";205;240;0;0;3;"1st";0,771;0,95
"MEG";NA;NA;"Orange_0p";"SG";"Acid";210;310;0;0;4;"1st";0,249;0,806
"MEG";NA;NA;"Orange_0p";"SG";"Aspartam";200;240;0;0;3;"1st";1,14;0,894
"MEG";NA;NA;"Orange_0p";"SG";"GS";205;310;0;0;1;"1st";0,465;0,982
"MEG";NA;NA;"Orange_3p";"SG";"Acid";215;450;0;0;1;"2nd";0,087;0,313
"MEG";NA;NA;"Orange_3p";"SG";"GS";220;450;0;0;1;"2nd";0,753;0,927
"MEG";NA;"SG";"Orange_3p_zero";"SG";"Acesulfam";220;255;0;0;1;"2nd";2,861;0,85
"MEG";NA;"SG";"Orange_3p_zero";"SG";"GS";230;240;310;390;2;"1st";0,55;0,983
"MEG";NA;"SG";"Orange_3p_zero";"SG";"Titration";250;280;350;370;2;"2nd";0,58;0,427
"PepsiCo";NA;NA;"Max_Cherry";"1";"Acesulfam";200;210;235;270;3;"spc";1,409;0,827
"PepsiCo";NA;NA;"Max_Cherry";"1";"Aspartam";210;220;270;280;2;"1st";12,644;0,834
"PepsiCo";NA;NA;"Max_Cherry";"1";"Coffein";250;270;280;300;6;"1st";0,174;0,999
"PepsiCo";NA;NA;"Max_Cherry";"1";"TA";200;210;220;230;2;"1st";0,209;0,822
"PepsiCo";NA;NA;"Max_Lemon";"1";"Acesulfam";205;255;0;0;3;"2nd";3,542;0,46
"PepsiCo";NA;NA;"Max_Lemon";"1";"Aspartam";205;210;220;230;2;"2nd";8,376;0,74
